name,titel,sex,country 1,country 2,line of succession,interest 1,science and technology,social clubs,royal foundation,professional institutions,history and heritage,sport and recreation,healthcare medical and hospices,faith,built environment and architecture,business and industry,arts and culture,armed services,animals,children and young people,environment,agriculture,elderly and retired people,education,community and civic,religion,type,royalhouse
sedu,The Swedish Defence UniversityThe SEDU Association,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tscpcf,The Swedish Crown Princess Couples Foundation,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
trsaom,The Royal Swedish Academy of Music,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tfotbm,The Friends of the Bernadotte Museum,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
trsaoa,The Royal Swedish Academy of Arts,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tkkjs,The King Karl XIV Johan Society,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tccocmvrf,The Central Committee of Crown Princess Margaretas Veteran Reserve Foundation,,swedish,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
sdga,Sustainable Development Goals Advocates,,swedish,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
cpvf,Crown Princess Victorias Fund,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
PD,Prince Daniel,male,swedish,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
asc,A Swedish Classic,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
thgf,The Healthy Generation foundation the Swedish Heart Lung Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tison,The International Society of Nephrology,,swedish,international,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
mod,MOD More Organ Donation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rsaoes,Royal Swedish Academy of Engineering Sciences,,swedish,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
PM,Princess Madeleine,female,swedish,,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
msdf,The My Special Day Foundation,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
en,Europa Nostra,,swedish,european,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
gsa,Gaevleborg Shieling Association,,swedish,,,art and culture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trgyc,The Royal Gothenburg Yacht Club,,swedish,,,sport and recreation ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
QE,Queen Elizabeth,female,british,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anglican,0,british
trs,The Royal Society,,british,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tioeat,The Institution of Engineering and Technology,,british,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
raso,Royal Astronomical Society,,british,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rsoc,Royal Society of Chemistry,,british,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aory,Association of Royal Yachtsmen,,british,,,social clubs ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tujc,The Union Jack Club,,british,,,social clubs ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tbma,The British Medical Association,,british,,,professional institutions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trpsogb,The Royal Pharmaceutical Society of Great Britain,,british,,,professional institutions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
cmaja,Commonwealth Magistrates and Judges Association,,british,,,professional institutions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
cilip,Chartered Institute of Library and Information Professionals ,,british,,,professional institutions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
nct,National Churches Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tha,The Historical Association,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trwt,Theatre Royal Windsor Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
bca,British Olympic Association,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trpra,The Royal Pigeon Racing Association,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tbhs,The British Horse Society,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rya,Royal Yachting Association,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
cruk,Cancer Research UK,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
nzma,New Zealand Medical Association,,british,new zealand,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tcma,The Canadian Medical Association,,british,canadian,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trsom,The Royal Society of Medicine,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
cuf,Church Urban Fund,,british,,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anglican,1,
scfs,Seamens Christian Friend Society,,british,,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anglican,1,
tcocaj,The Council of Christians and Jews,,british,,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anglican and jewish,1,
ymca,YMCA England,,british,,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anglican,1,
folc,Friends of Llandaff Cathedral,,british,,,built environment and architecture,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,
raioc,Royal Architectural Institute of Canada,,british,canadian,,built environment and architecture,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,
rst,Royal Shakespeare Theatre,,british,,,built environment and architecture,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,
raioa,Royal Australian Institute of Architects,,british,australian,,built environment and architecture,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,
raobdf,Royal Association of British Dairy Farmers,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
res,Royal Economic Society,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
tbcoc,The British Chambers of Commerce,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
trioia,The Royal Institute of International Affairs,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
fbs,Franco British Society,,british,french,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
lso,London Symphony Orchestra Ltd,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
raoda,Royal Academy of Dramatic Art,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
riopiw,Royal Institute of Painters in Watercolours,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
aanc,Army and Navy Club ,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
ig,Irish Guards,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
trafa,The Royal Air Forces Association,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rroa,Royal Regiment of Artillery,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rsftpocta,Royal Society for the Prevention of Cruelty to Animals,,british,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
rwhs,Royal Windsor Horse Show,,british,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
tzsol,The Zoological Society of London,,british,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
dt,Dogs Trust,,british,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
tcyec,The Commonwealth Youth Exchange Council,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
ican,Invalid Childrens Aid Nationwide,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
stcc,Save The Children Canada,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
tqt,The Queens Trust,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
nwt,Norfolk Wildlife Trust,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
rfs,Royal Forestry Society,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tsc,The Shikar Club,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
ffi,Fauna and Flora International,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
iacr,IACR Rothamsted,,british,,,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
rwrahs,Royal Windsor Rose and Horticultural Society,,british,,,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
thcs,The Highland Cattle Society,,british,,,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
trasoe,The Royal Agricultural Society of England,,british,,,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
fote,Friends of the Elderly,,british,,,elderly and retired people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
csasbi,Church Schoolmasters and Schoolmistresses Benevolent Institution,,british,,,elderly and retired people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anglican,1,
hh,Haig Housing,,british,,,elderly and retired people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
